Fecha,Mezcla_Mexicana,WTI
15/02/2012,111.23,101.84
15/03/2012,113.39,105.21
15/05/2012,102.51,93.99
15/06/2012,91.94,84.05
15/08/2012,103.43,94.37
15/10/2012,102.23,91.86
15/11/2012,95.83,85.47
15/01/2013,99.17,93.28
15/02/2013,109.06,95.97
15/03/2013,104.8,93.51
15/04/2013,96.37,88.75
15/05/2013,97.74,93.98
15/07/2013,101.59,106.25
15/08/2013,101.67,107.45
15/10/2013,96.03,101.16
15/11/2013,89.24,93.78
15/01/2014,91.03,93.9
15/04/2014,96.52,103.75
15/05/2014,97.48,101.5
15/07/2014,93.16,99.96
15/08/2014,91.85,97.35
15/09/2014,88.37,92.27
15/10/2014,75.69,81.78
15/12/2014,50.26,55.91
15/01/2015,38.52,46.25
15/04/2015,52.8,56.39
15/05/2015,57.73,59.69
15/06/2015,56.07,59.52
15/07/2015,50.46,51.41
15/09/2015,37.93,44.59
15/10/2015,39.63,46.38
15/12/2015,28.34,37.35
15/01/2016,20.7,29.42
15/02/2016,24.11,29.48
15/03/2016,29.38,36.34
15/04/2016,32.24,40.36
15/06/2016,39.66,48.01
15/07/2016,40.17,45.95
15/08/2016,39.54,45.74
15/09/2016,37.1,43.91
15/11/2016,37.22,45.81
15/12/2016,44,50.9
15/02/2017,45.51,53.11
15/03/2017,41.24,48.67
15/05/2017,44.84,48.85
15/06/2017,40.62,44.46
15/08/2017,44.54,47.55
15/09/2017,48.849998,49.889999
15/11/2017,52.62,55.33
15/12/2017,53.169998,57.299999
15/02/2018,54.740002,61.34
15/03/2018,54.650002,61.189999
15/05/2018,65.45,71.31
15/08/2018,60.72,65.010002
15/10/2018,74.28,71.779999
15/11/2018,60.580002,56.46
15/01/2019,51.2,51.94
15/02/2019,58.55,55.6
15/03/2019,60.08,58.52
15/04/2019,62.97,63.4
15/05/2019,63.35,62.02
15/08/2019,48.13,54.47
15/10/2019,47.37,52.81
15/11/2019,50.2,57.72
15/01/2020,54.4,57.81
15/04/2020,14.23,19.87
15/05/2020,24.74,29.43
15/06/2020,32.33,37.12
15/07/2020,38.09,41.2
15/09/2020,36.08,38.28
15/10/2020,38.01,40.96
15/12/2020,46.14,47.62
15/01/2021,51.05,52.36
15/04/2021,61.72,61.12
15/06/2021,71.38,68.21
15/07/2021,72.49,68.53
15/09/2021,71.65,68.31
15/10/2021,81.48,77.6
15/12/2021,71.71,65.7
15/02/2022,91.64,86.21
15/03/2022,108.5,92.26
15/06/2022,114.84,110.92
15/07/2022,101.62,91.68
15/08/2022,93.67,84.79
15/09/2022,84.26,81.39
